Source,Target,Type,Id,Label,timeset,Weight
1167,1174,Directed,87485,,,1
1167,1175,Directed,87486,,,1
1167,1178,Directed,87487,,,1
1167,1187,Directed,87488,,,1
1167,1190,Directed,87489,,,1
1167,1191,Directed,87490,,,1
1167,1192,Directed,87491,,,1
1167,1205,Directed,87492,,,1
1167,1218,Directed,87493,,,1
1167,1220,Directed,87494,,,1
1167,1229,Directed,87495,,,1
1167,1232,Directed,87496,,,1
1167,1233,Directed,87497,,,1
1167,1234,Directed,87498,,,1
1167,1243,Directed,87499,,,1
1167,1244,Directed,87500,,,1
1167,1248,Directed,87501,,,1
1167,1256,Directed,87502,,,1
1167,1263,Directed,87503,,,1
1167,1274,Directed,87504,,,1
1167,1281,Directed,87505,,,1
1167,1286,Directed,87506,,,1
1167,1288,Directed,87507,,,1
1167,1293,Directed,87508,,,1
1167,1296,Directed,87509,,,1
1167,1299,Directed,87510,,,1
1167,1304,Directed,87511,,,1
1167,1305,Directed,87512,,,1
1167,1310,Directed,87513,,,1
1167,1314,Directed,87514,,,1
1167,1320,Directed,87515,,,1
1167,1321,Directed,87516,,,1
1167,1323,Directed,87517,,,1
1167,1330,Directed,87518,,,1
1167,1331,Directed,87519,,,1
1167,1335,Directed,87520,,,1
1167,1338,Directed,87521,,,1
1167,1339,Directed,87522,,,1
1167,1350,Directed,87523,,,1
1167,1351,Directed,87524,,,1
1167,1354,Directed,87525,,,1
1167,1363,Directed,87526,,,1
1167,1371,Directed,87527,,,1
1167,1372,Directed,87528,,,1
1167,1378,Directed,87529,,,1
1167,1379,Directed,87530,,,1
1167,1380,Directed,87531,,,1
1167,1382,Directed,87532,,,1
1167,1389,Directed,87533,,,1
1167,1390,Directed,87534,,,1
1167,1397,Directed,87535,,,1
1167,1402,Directed,87536,,,1
1167,1404,Directed,87537,,,1
1167,1410,Directed,87538,,,1
1167,1411,Directed,87539,,,1
1167,1422,Directed,87540,,,1
1167,1434,Directed,87541,,,1
1167,1436,Directed,87542,,,1
1167,1438,Directed,87543,,,1
1167,1444,Directed,87544,,,1
1167,1445,Directed,87545,,,1
1167,1446,Directed,87546,,,1
1167,1452,Directed,87547,,,1
1167,1463,Directed,87548,,,1
1167,1464,Directed,87549,,,1
1167,1472,Directed,87550,,,1
1167,1480,Directed,87551,,,1
1167,1484,Directed,87552,,,1
1167,1491,Directed,87553,,,1
1167,1495,Directed,87554,,,1
1167,1498,Directed,87555,,,1
1167,1499,Directed,87556,,,1
1167,1506,Directed,87557,,,1
1167,1507,Directed,87558,,,1
1167,1509,Directed,87559,,,1
1167,1514,Directed,87560,,,1
1167,1516,Directed,87561,,,1
1167,1517,Directed,87562,,,1
1167,1518,Directed,87563,,,1
1167,1519,Directed,87564,,,1
1167,1526,Directed,87565,,,1
1167,1528,Directed,87566,,,1
1167,1529,Directed,87567,,,1
1167,1531,Directed,87568,,,1
1167,1532,Directed,87569,,,1
1167,1534,Directed,87570,,,1
1167,1536,Directed,87571,,,1
1167,1545,Directed,87572,,,1
1167,1551,Directed,87573,,,1
1167,1554,Directed,87574,,,1
1168,1169,Directed,87575,,,1
1168,1171,Directed,87576,,,1
1168,1173,Directed,87577,,,1
1168,1175,Directed,87578,,,1
1168,1180,Directed,87579,,,1
1168,1181,Directed,87580,,,1
1168,1182,Directed,87581,,,1
1168,1188,Directed,87582,,,1
1168,1189,Directed,87583,,,1
1168,1194,Directed,87584,,,1
1168,1195,Directed,87585,,,1
1168,1198,Directed,87586,,,1
1168,1203,Directed,87587,,,1
1168,1205,Directed,87588,,,1
1168,1215,Directed,87589,,,1
1168,1217,Directed,87590,,,1
1168,1222,Directed,87591,,,1
1168,1225,Directed,87592,,,1
1168,1230,Directed,87593,,,1
1168,1231,Directed,87594,,,1
1168,1234,Directed,87595,,,1
1168,1240,Directed,87596,,,1
1168,1241,Directed,87597,,,1
1168,1244,Directed,87598,,,1
1168,1254,Directed,87599,,,1
1168,1257,Directed,87600,,,1
1168,1259,Directed,87601,,,1
1168,1262,Directed,87602,,,1
1168,1272,Directed,87603,,,1
1168,1279,Directed,87604,,,1
1168,1280,Directed,87605,,,1
1168,1285,Directed,87606,,,1
1168,1296,Directed,87607,,,1
1168,1297,Directed,87608,,,1
1168,1298,Directed,87609,,,1
1168,1299,Directed,87610,,,1
1168,1305,Directed,87611,,,1
1168,1312,Directed,87612,,,1
1168,1319,Directed,87613,,,1
1168,1321,Directed,87614,,,1
1168,1323,Directed,87615,,,1
1168,1324,Directed,87616,,,1
1168,1325,Directed,87617,,,1
1168,1328,Directed,87618,,,1
1168,1331,Directed,87619,,,1
1168,1334,Directed,87620,,,1
1168,1338,Directed,87621,,,1
1168,1343,Directed,87622,,,1
1168,1345,Directed,87623,,,1
1168,1361,Directed,87624,,,1
1168,1363,Directed,87625,,,1
1168,1369,Directed,87626,,,1
1168,1376,Directed,87627,,,1
1168,1377,Directed,87628,,,1
1168,1378,Directed,87629,,,1
1168,1381,Directed,87630,,,1
1168,1384,Directed,87631,,,1
1168,1385,Directed,87632,,,1
1168,1387,Directed,87633,,,1
1168,1388,Directed,87634,,,1
1168,1391,Directed,87635,,,1
1168,1393,Directed,87636,,,1
1168,1395,Directed,87637,,,1
1168,1400,Directed,87638,,,1
1168,1402,Directed,87639,,,1
1168,1415,Directed,87640,,,1
1168,1419,Directed,87641,,,1
1168,1420,Directed,87642,,,1
1168,1424,Directed,87643,,,1
1168,1429,Directed,87644,,,1
1168,1436,Directed,87645,,,1
1168,1442,Directed,87646,,,1
1168,1450,Directed,87647,,,1
1168,1451,Directed,87648,,,1
1168,1457,Directed,87649,,,1
1168,1461,Directed,87650,,,1
1168,1465,Directed,87651,,,1
1168,1469,Directed,87652,,,1
1168,1470,Directed,87653,,,1
1168,1480,Directed,87654,,,1
1168,1487,Directed,87655,,,1
1168,1492,Directed,87656,,,1
1168,1501,Directed,87657,,,1
1168,1503,Directed,87658,,,1
1168,1506,Directed,87659,,,1
1168,1509,Directed,87660,,,1
1168,1512,Directed,87661,,,1
1168,1513,Directed,87662,,,1
1168,1517,Directed,87663,,,1
1168,1525,Directed,87664,,,1
1168,1527,Directed,87665,,,1
1168,1533,Directed,87666,,,1
1168,1537,Directed,87667,,,1
1168,1539,Directed,87668,,,1
1168,1542,Directed,87669,,,1
1168,1548,Directed,87670,,,1
1168,1549,Directed,87671,,,1
1168,1551,Directed,87672,,,1
1168,1555,Directed,87673,,,1
1169,1170,Directed,87674,,,1
1169,1172,Directed,87675,,,1
1169,1181,Directed,87676,,,1
1169,1193,Directed,87677,,,1
